Product Name,Category,Price,Marketing Spend,Stock Quantity,Sales,Revenue,Profit,Date
Samsung Galaxy A54,Electronics,32000,5000,150,120,3840000,720000,2025-06-01
HP Laptop 15s,Electronics,55000,8000,80,45,2475000,495000,2025-06-01
Nike Running Shoes,Footwear,4500,2000,200,150,675000,135000,2025-06-01
Wooden Study Table,Furniture,8500,1500,50,30,255000,51000,2025-06-02
Office Chair,Furniture,6500,1200,70,40,260000,52000,2025-06-02
Rice 25kg Bag,Grocery,1800,500,300,220,396000,59400,2025-06-03
Sunflower Oil 5L,Grocery,850,300,250,180,153000,22950,2025-06-03
Dairy Milk Gift Pack,Food,450,200,400,250,112500,22500,2025-06-04
Apple iPhone 15,Electronics,79000,10000,60,35,2765000,553000,2025-06-04
Smart Watch Pro,Electronics,6500,2500,120,90,585000,117000,2025-06-05
Mixer Grinder,Home Appliances,3200,700,90,55,176000,35200,2025-06-05
Refrigerator 250L,Home Appliances,28000,4000,40,20,560000,112000,2025-06-06
Air Conditioner 1.5 Ton,Home Appliances,42000,6000,30,15,630000,126000,2025-06-06
Men's Casual Shirt,Clothing,1200,400,350,200,240000,48000,2025-06-07
Women's Handbag,Fashion,2200,600,180,110,242000,48400,2025-06-07
Bluetooth Speaker,Electronics,2500,900,140,95,237500,47500,2025-06-08
Protein Powder 1kg,Health,1800,700,100,60,108000,21600,2025-06-08
Water Bottle 1L,Accessories,300,100,500,320,96000,19200,2025-06-09
School Backpack,Accessories,1500,350,220,140,210000,42000,2025-06-09
LED TV 43 Inch,Electronics,32000,5000,35,18,576000,115200,2025-06-10
